año;municipio;barrios de Barcelona;concepto;estado;valor
2022;Barcelona;el Raval;población ocupada (%);;57.5
2022;Barcelona;el Raval;trabajadores de baja calificación (%);;13.4
2022;Barcelona;el Raval;población con estudios bajos (%);;17.7
2022;Barcelona;el Raval;población joven sin estudios postobligatorios (%);;29.9
2022;Barcelona;el Raval;extranjeros de países de renta baja o media (%);;38.5
2022;Barcelona;el Raval;renta media por persona (€);;10893
2022;Barcelona;el Barri Gòtic;población ocupada (%);;45.3
2022;Barcelona;el Barri Gòtic;trabajadores de baja calificación (%);;11.4
2022;Barcelona;el Barri Gòtic;población con estudios bajos (%);;20.6
2022;Barcelona;el Barri Gòtic;población joven sin estudios postobligatorios (%);;35.2
2022;Barcelona;el Barri Gòtic;extranjeros de países de renta baja o media (%);;22.5
2022;Barcelona;el Barri Gòtic;renta media por persona (€);;13971
2022;Barcelona;la Barceloneta;población ocupada (%);;59.9
2022;Barcelona;la Barceloneta;trabajadores de baja calificación (%);;9.7
2022;Barcelona;la Barceloneta;población con estudios bajos (%);;14.6
2022;Barcelona;la Barceloneta;población joven sin estudios postobligatorios (%);;17
2022;Barcelona;la Barceloneta;extranjeros de países de renta baja o media (%);;19
2022;Barcelona;la Barceloneta;renta media por persona (€);;14117
2022;Barcelona;Sant Pere, Santa Caterina i la Ribera;población ocupada (%);;59.7
2022;Barcelona;Sant Pere, Santa Caterina i la Ribera;trabajadores de baja calificación (%);;7
2022;Barcelona;Sant Pere, Santa Caterina i la Ribera;población con estudios bajos (%);;10.1
2022;Barcelona;Sant Pere, Santa Caterina i la Ribera;población joven sin estudios postobligatorios (%);;12.9
2022;Barcelona;Sant Pere, Santa Caterina i la Ribera;extranjeros de países de renta baja o media (%);;18.9
2022;Barcelona;Sant Pere, Santa Caterina i la Ribera;renta media por persona (€);;15379
2022;Barcelona;el Fort Pienc;población ocupada (%);;63.8
2022;Barcelona;el Fort Pienc;trabajadores de baja calificación (%);;5.4
2022;Barcelona;el Fort Pienc;población con estudios bajos (%);;9.3
2022;Barcelona;el Fort Pienc;población joven sin estudios postobligatorios (%);;12.2
2022;Barcelona;el Fort Pienc;extranjeros de países de renta baja o media (%);;13.6
2022;Barcelona;el Fort Pienc;renta media por persona (€);;19279
2022;Barcelona;la Sagrada Família;población ocupada (%);;67.5
2022;Barcelona;la Sagrada Família;trabajadores de baja calificación (%);;5.2
2022;Barcelona;la Sagrada Família;población con estudios bajos (%);;9.6
2022;Barcelona;la Sagrada Família;población joven sin estudios postobligatorios (%);;9.6
2022;Barcelona;la Sagrada Família;extranjeros de países de renta baja o media (%);;14.6
2022;Barcelona;la Sagrada Família;renta media por persona (€);;18588
2022;Barcelona;la Dreta de l'Eixample;población ocupada (%);;63.7
2022;Barcelona;la Dreta de l'Eixample;trabajadores de baja calificación (%);;2.9
2022;Barcelona;la Dreta de l'Eixample;población con estudios bajos (%);;5.6
2022;Barcelona;la Dreta de l'Eixample;población joven sin estudios postobligatorios (%);;5.5
2022;Barcelona;la Dreta de l'Eixample;extranjeros de países de renta baja o media (%);;10.8
2022;Barcelona;la Dreta de l'Eixample;renta media por persona (€);;23769
2022;Barcelona;l'Antiga Esquerra de l'Eixample;población ocupada (%);;64.9
2022;Barcelona;l'Antiga Esquerra de l'Eixample;trabajadores de baja calificación (%);;3.6
2022;Barcelona;l'Antiga Esquerra de l'Eixample;población con estudios bajos (%);;6.4
2022;Barcelona;l'Antiga Esquerra de l'Eixample;población joven sin estudios postobligatorios (%);;6.9
2022;Barcelona;l'Antiga Esquerra de l'Eixample;extranjeros de países de renta baja o media (%);;12.2
2022;Barcelona;l'Antiga Esquerra de l'Eixample;renta media por persona (€);;22561
2022;Barcelona;la Nova Esquerra de l'Eixample;población ocupada (%);;67.9
2022;Barcelona;la Nova Esquerra de l'Eixample;trabajadores de baja calificación (%);;4.7
2022;Barcelona;la Nova Esquerra de l'Eixample;población con estudios bajos (%);;7.6
2022;Barcelona;la Nova Esquerra de l'Eixample;población joven sin estudios postobligatorios (%);;7.9
2022;Barcelona;la Nova Esquerra de l'Eixample;extranjeros de países de renta baja o media (%);;12.2
2022;Barcelona;la Nova Esquerra de l'Eixample;renta media por persona (€);;20750
2022;Barcelona;Sant Antoni;población ocupada (%);;67.2
2022;Barcelona;Sant Antoni;trabajadores de baja calificación (%);;5.4
2022;Barcelona;Sant Antoni;población con estudios bajos (%);;10.1
2022;Barcelona;Sant Antoni;población joven sin estudios postobligatorios (%);;11.9
2022;Barcelona;Sant Antoni;extranjeros de países de renta baja o media (%);;14.4
2022;Barcelona;Sant Antoni;renta media por persona (€);;18720
2022;Barcelona;el Poble Sec;población ocupada (%);;63.6
2022;Barcelona;el Poble Sec;trabajadores de baja calificación (%);;9.8
2022;Barcelona;el Poble Sec;población con estudios bajos (%);;13.6
2022;Barcelona;el Poble Sec;población joven sin estudios postobligatorios (%);;19.3
2022;Barcelona;el Poble Sec;extranjeros de países de renta baja o media (%);;20.6
2022;Barcelona;el Poble Sec;renta media por persona (€);;14272
2022;Barcelona;la Marina del Prat Vermell;población ocupada (%);;53.5
2022;Barcelona;la Marina del Prat Vermell;trabajadores de baja calificación (%);;15.2
2022;Barcelona;la Marina del Prat Vermell;población con estudios bajos (%);;21
2022;Barcelona;la Marina del Prat Vermell;población joven sin estudios postobligatorios (%);;40.7
2022;Barcelona;la Marina del Prat Vermell;extranjeros de países de renta baja o media (%);;12.4
2022;Barcelona;la Marina del Prat Vermell;renta media por persona (€);;12529
2022;Barcelona;la Marina de Port;población ocupada (%);;64.4
2022;Barcelona;la Marina de Port;trabajadores de baja calificación (%);;12.1
2022;Barcelona;la Marina de Port;población con estudios bajos (%);;15.7
2022;Barcelona;la Marina de Port;población joven sin estudios postobligatorios (%);;23.9
2022;Barcelona;la Marina de Port;extranjeros de países de renta baja o media (%);;14
2022;Barcelona;la Marina de Port;renta media por persona (€);;14303
2022;Barcelona;la Font de la Guatlla;población ocupada (%);;66.3
2022;Barcelona;la Font de la Guatlla;trabajadores de baja calificación (%);;8.8
2022;Barcelona;la Font de la Guatlla;población con estudios bajos (%);;12.5
2022;Barcelona;la Font de la Guatlla;población joven sin estudios postobligatorios (%);;16.1
2022;Barcelona;la Font de la Guatlla;extranjeros de países de renta baja o media (%);;16
2022;Barcelona;la Font de la Guatlla;renta media por persona (€);;17321
2022;Barcelona;Hostafrancs;población ocupada (%);;64.9
2022;Barcelona;Hostafrancs;trabajadores de baja calificación (%);;7.3
2022;Barcelona;Hostafrancs;población con estudios bajos (%);;11.7
2022;Barcelona;Hostafrancs;población joven sin estudios postobligatorios (%);;16.2
2022;Barcelona;Hostafrancs;extranjeros de países de renta baja o media (%);;17.2
2022;Barcelona;Hostafrancs;renta media por persona (€);;16478
2022;Barcelona;la Bordeta;población ocupada (%);;68.5
2022;Barcelona;la Bordeta;trabajadores de baja calificación (%);;7
2022;Barcelona;la Bordeta;población con estudios bajos (%);;13.4
2022;Barcelona;la Bordeta;población joven sin estudios postobligatorios (%);;13.9
2022;Barcelona;la Bordeta;extranjeros de países de renta baja o media (%);;10.7
2022;Barcelona;la Bordeta;renta media por persona (€);;16799
2022;Barcelona;Sants-Badal;población ocupada (%);;66.8
2022;Barcelona;Sants-Badal;trabajadores de baja calificación (%);;9.4
2022;Barcelona;Sants-Badal;población con estudios bajos (%);;13.6
2022;Barcelona;Sants-Badal;población joven sin estudios postobligatorios (%);;14.5
2022;Barcelona;Sants-Badal;extranjeros de países de renta baja o media (%);;15.4
2022;Barcelona;Sants-Badal;renta media por persona (€);;16117
2022;Barcelona;Sants;población ocupada (%);;64.5
2022;Barcelona;Sants;trabajadores de baja calificación (%);;7.1
2022;Barcelona;Sants;población con estudios bajos (%);;11.2
2022;Barcelona;Sants;población joven sin estudios postobligatorios (%);;12.3
2022;Barcelona;Sants;extranjeros de países de renta baja o media (%);;12.5
2022;Barcelona;Sants;renta media por persona (€);;18090
2022;Barcelona;les Corts;población ocupada (%);;68.6
2022;Barcelona;les Corts;trabajadores de baja calificación (%);;3.7
2022;Barcelona;les Corts;población con estudios bajos (%);;7.7
2022;Barcelona;les Corts;población joven sin estudios postobligatorios (%);;6.8
2022;Barcelona;les Corts;extranjeros de países de renta baja o media (%);;7.7
2022;Barcelona;les Corts;renta media por persona (€);;23381
2022;Barcelona;la Maternitat i Sant Ramon;población ocupada (%);;68.5
2022;Barcelona;la Maternitat i Sant Ramon;trabajadores de baja calificación (%);;4.8
2022;Barcelona;la Maternitat i Sant Ramon;población con estudios bajos (%);;9.9
2022;Barcelona;la Maternitat i Sant Ramon;población joven sin estudios postobligatorios (%);;7.8
2022;Barcelona;la Maternitat i Sant Ramon;extranjeros de países de renta baja o media (%);;9.8
2022;Barcelona;la Maternitat i Sant Ramon;renta media por persona (€);;20894
2022;Barcelona;Pedralbes;población ocupada (%);;60.8
